id,field,old,new,confidence
346,publisher,Ayodhya Reaserch Institute,Ayodhya Research Institute,medium
347,title,Jhelum : The Rivers Through My Backyard,Jhelum: The River Through My Backyard,high
347,author,Ahmad Khalid Dashiv,Khalid Bashir Ahmad,high
347,publisher,Bookman Pubs,Bookman Publishers,high
348,title,The Ocean Of Churn : How Indian Ocean Shaped Human History,The Ocean of Churn: How the Indian Ocean Shaped Human History,high
348,author,Sanyal Sanjeev,Sanjeev Sanyal,high
349,title,Talking Of Justice : People Rights In Modern India,Talking of Justice: People's Rights in Modern India,high
349,author,Seth Leila,Leila Seth,high
349,publisher,Aleph Book New Delhi,"Aleph Book Company, New Delhi",high
350,title,Communal Riots In India,Communal Riots in India,high
350,author,Sakena N.S.,N.S. Saksena,high
350,publisher,Trisul Pubs,Trishul Publications,high
351,title,Best Stories From The Indian Classics,Best Stories from the Indian Classics,medium
351,author,Naravane V.S,V.S. Naravane,medium
351,publisher,Roli Books New Delhi,"Roli Books, New Delhi",medium
352,title,Karmayogi : A Biography Of Eshreechovan,Karmayogi: A Biography of E. Sreedharan,high
352,author,Ashoka M.S.,M.S. Ashokan,high
354,title,The Age Of Imperial Kannauj,"The Age of Imperial Kanauj (The History and Culture of the Indian People, Vol. 4)",high
354,author,Bhartiya Vidhya Bhawan,R.C. Majumdar (ed.),high
354,publisher,Bhartiya Vidhya Bhawan,Bharatiya Vidya Bhavan,high
354,language,Hindi,English,high
355,title,The Mahabharat : A Modern Vendering Vol.ii,"The Mahabharata: A Modern Rendering, Vol. 2",high
355,author,Menan Ramesh,Ramesh Menon,high
355,publisher,Rupa & CO.,Rupa & Co.,high
356,title,Taalluqdars Of Oudh,Taluqdars of Oudh,medium
356,author,Singh Amit,Amit Singh,medium
356,publisher,Bloomsbury Books,Bloomsbury,medium
357,title,Income Tax Law & Practice,Income Tax Law and Practice,high
357,author,Mehrotra H.C.,H.C. Mehrotra,high
357,publisher,Sahitya Bhawan Pubs Agra,"Sahitya Bhawan Publications, Agra",high
357,language,Hindi,English,high
358,author,Isaacsan Walter,Walter Isaacson,high
358,publisher,Little Brown Great Britain,"Little, Brown",high
358,language,Hindi,English,high
359,title,High School English Grammer Of Composition,High School English Grammar and Composition,high
359,author,Wren P.C.,P.C. Wren and H. Martin,high
359,publisher,S.chand And Company New Delhi,"S. Chand and Company, New Delhi",high
360,title,The Price Of Inequality,The Price of Inequality,high
360,author,Sliglitz Joshph E,Joseph E. Stiglitz,high
361,author,Talwar Rajesh,Rajesh Talwar,high
361,language,Hindi,English,high
362,author,Pamuk Orhan,Orhan Pamuk,high
363,title,What The Dog Saw,What the Dog Saw,high
363,author,Glodwell Malcoln,Malcolm Gladwell,high
364,author,Hanh Thich Nhal,Thich Nhat Hanh,high
364,publisher,Harper Collins India,HarperCollins India,high
366,title,The Prince Of Civilazation,The Price of Civilization,high
366,author,Sachs Jeffery,Jeffrey Sachs,high
366,publisher,Vintage Book Londan,"Vintage Books, London",high
367,title,It's Not About The Bike : My Journey Back To Life,It's Not About the Bike: My Journey Back to Life,high
367,author,Armstrong Lance,Lance Armstrong,high
367,publisher,Yellow Lerseq Londan,"Yellow Jersey Press, London",high
368,title,Get To The Top: 10 Rules For Social Success,Get to the Top: The Ten Rules for Social Success,high
368,author,Seth Suhel,Suhel Seth,high
368,publisher,Random House New York,Random House India,high
369,title,We Nehru's,We Nehrus,high
369,author,Nehru Krishna,Krishna Nehru Hutheesing,high
369,publisher,Ibh Pubs Co.bombay,"IBH Publishing Co., Bombay",high
369,language,Hindi,English,high
370,title,The Legend Linen On --------,Khushwant Singh: The Legend Lives On...,high
370,author,Khushwant Singh,Rahul Singh (ed.),high
371,title,Macbeth - William Shakespeare,Macbeth,medium
371,author,Sen S,S. Sen,medium
371,publisher,Unique Pubs New Delhi,"Unique Publishers, New Delhi",medium
371,language,Hindi,English,medium
372,title,Enlgish August : An Indian Story,"English, August: An Indian Story",high
372,author,Chaterjee Upnanya,Upamanyu Chatterjee,high
373,title,Ecce Homo : How One Becomes What One Is,Ecce Homo: How One Becomes What One Is,high
373,author,"Nietzsche , Friedrich",Friedrich Nietzsche,high
374,title,Arms And The Man,Arms and the Man,high
374,author,Shaw Bernard,George Bernard Shaw,high
374,publisher,Orient Paperback Delhi,"Orient Paperbacks, Delhi",high
375,author,Basu G,G. Basu,medium
375,publisher,Rupa & CO.,Rupa & Co.,medium
376,author,Garden Ruth,Ruth Gardner,high
376,publisher,Pustak Mahal Delhi,"Pustak Mahal, Delhi",high
376,language,Hindi,English,high
377,title,Foucault's Pendulam,Foucault's Pendulum,high
377,author,Eco Unberito,Umberto Eco,high
377,publisher,Random House New York,"Random House, New York",high
378,title,Making The Future,"Making the Future: Occupations, Interventions, Empire and Resistance",high
378,author,Chomsky Noam,Noam Chomsky,high
379,title,Principles Of The Law Of Evidence,Principles of the Law of Evidence,high
379,author,Singh Avtar,Avtar Singh,high
380,title,The Law Of Contempt,The Law of Contempt,medium
380,author,Narayana P.S.,P.S. Narayana,medium
381,title,Principles Of Criminology : Criminal Law Investigation,"Principles of Criminology, Criminal Law and Investigation",medium
381,author,Deb R,R. Deb,medium
381,publisher,Sarkar & Sons Calcultta,"S.C. Sarkar & Sons, Calcutta",medium
382,title,History Of India Part 1,"History of India, Part 1",medium
382,author,Murthy H.V. Sriniwasa,H.V. Sreenivasa Murthy,medium
384,title,Bhartiy Sanvidhan Manavadhikar Police Ke Samaksh Chunautiya Avom Police Sanvedikaran,"Bhartiya Sanvidhan, Manavadhikar, Police Ke Samaksh Chunautiyan Evam Police Samvedikaran",medium
384,author,Singh Amit,Amit Singh,medium
384,publisher,Universal Law Pubs.co.,Universal Law Publishing Co.,medium
385,title,Ram Sahitya Kosh Khand 2,"Ram Sahitya Kosh, Khand 2",medium
385,author,Singh Yogendra Pratap (samp),Yogendra Pratap Singh (ed.),medium
386,title,Intelligence : A Society Weapans,Intelligence: A Security Weapon,high
386,author,Pathak D.C.,D.C. Pathak,high
386,publisher,Manas Pubishing House Delhi,"Manas Publications, Delhi",high
386,language,Hindi,English,high
387,title,Khanqah - E - Aalia Niazia An Epitone Of Sufism,Khanqah-e-Aalia Niazia: An Epitome of Sufism,medium
387,author,Jafri Bilquis,Bilquis Jafri,medium
387,publisher,Dr.bilquis Jafri,Dr. Bilquis Jafri,medium
388,author,Banham Gurney,W. Gurney Benham,high
388,publisher,Cassell & Co.londan,"Cassell & Co., London",high
388,language,Hindi,English,high
389,title,Napoleon To Nasser : The Story Of Modern Egypt,Napoleon to Nasser: The Story of Modern Egypt,high
389,author,Flower Raymond,Raymond Flower,high
389,publisher,Tomstacy Londan,"Tom Stacey, London",high
390,title,Char Dhram Yatra Esctatic Flight In To Himalayas,Char Dham Yatra: Ecstatic Flight into Himalayas,medium
390,author,Venkataraman G.R,G.R. Venkataraman,medium
390,publisher,Bhartiya Vidhya Bhawan,Bharatiya Vidya Bhavan,medium
390,language,Hindi,English,medium
391,title,Awaking Indians To India,Awakening Indians to India,high
391,publisher,Cambe Chinmaya Mission Trust`,Central Chinmaya Mission Trust,high
391,language,Hindi,English,high
392,title,The Life Of Sri Aurobindo,The Life of Sri Aurobindo,high
392,author,Purani A.B.,A.B. Purani,high
392,publisher,Sri Aurobindo Ashram Pandicherry,"Sri Aurobindo Ashram, Pondicherry",high
392,language,Hindi,English,high
395,title,Eminent Indians Literative,Eminent Indians: Litterateurs,medium
395,author,Ahuja M.L.,M.L. Ahuja,medium
395,publisher,Rupa & CO.,Rupa & Co.,medium
396,title,Check Your Own I Q,Check Your Own I.Q.,high
396,author,Eysnck H.J.,H.J. Eysenck,high
397,title,Out Look Traveller Getways,Outlook Traveller Getaways,medium
397,author,Outlook Traveller Delhi Tourism,Outlook Traveller,medium
397,publisher,Delhi Tourism Outlook,Outlook / Delhi Tourism,medium
397,language,Hindi,English,medium
398,author,Swami Prabhupeda,A.C. Bhaktivedanta Swami Prabhupada,high
398,publisher,Bhaktinedanta Book Trust,Bhaktivedanta Book Trust,high
398,language,Hindi,English,high
399,title,Great Speeches Of Modern India,Great Speeches of Modern India,high
399,author,Mukharjee Rudragshu,Rudrangshu Mukherjee (ed.),high
399,publisher,Random House New York,Random House India,high
400,title,A Matter Of Honour : Indian Army & Officer & Mens,"A Matter of Honour: An Account of the Indian Army, Its Officers and Men",high
400,author,Masan Philip,Philip Mason,high
400,publisher,Ebd Education Dehradun,"EBD Education, Dehradun",high
401,title,Soul Curry For You And Me,Soul Curry for You and Me,high
401,language,Hindi,English,high
402,title,The Fascinating World Of Bees,The Fascinating World of Bees,medium
402,author,Rodionov V.V.,V.V. Rodionov,medium
402,publisher,Mir Pubs Moscov,"Mir Publishers, Moscow",medium
403,title,India : The Stage With In,India: The Siege Within,high
403,author,Akber M.J.,M.J. Akbar,high
404,title,Connect The Dots,Connect the Dots,high
404,author,Bansal Rashmi,Rashmi Bansal,high
404,publisher,Westland Ltd.chennai,"Westland, Chennai",high
405,title,The Best Speaking Tree Vol.8,"The Best of Speaking Tree, Vol. 8",high
405,author,Times Of India,Times of India,high
406,title,The Law Of Torts,The Law of Torts,high
406,author,Bangea R.K.,R.K. Bangia,high
407,title,India : Government & Politics In Developing Nation,India: Government and Politics in a Developing Nation,high
407,author,Hargrane Robert L,Robert L. Hardgrave,high
408,title,Comporative Government,Comparative Government,high
408,author,Blondel Jean,Jean Blondel,high
409,title,Perpectivies Of India's Nuclear Policy,Perspectives of India's Nuclear Policy,medium
409,author,Poulose T.T. (ed.),T.T. Poulose (ed.),medium
409,publisher,Young India Pubs,Young India Publications,medium
410,author,Varma S.P.,S.P. Varma,high
410,publisher,Vikash Pub.house,Vikas Publishing House,high
410,language,Hindi,English,high
411,title,The Politics Of Non-alignment,The Politics of Non-Alignment,medium
411,author,Rahman M.N.,M.N. Rahman,medium
411,publisher,Associate Pubs House,Associated Publishing House,medium
412,author,Coker Francis W,Francis W. Coker,high
412,language,Hindi,English,high
413,title,Principles Of Civics,Principles of Civics,medium
413,publisher,Kitab Mahal Allahabad,"Kitab Mahal, Allahabad",medium
414,title,State & Government In Ancient India,State and Government in Ancient India,high
414,author,Atlekar A.S.,A.S. Altekar,high
414,publisher,Motilal Banaraidas Delhi,"Motilal Banarsidass, Delhi",high
415,title,The Theory & Practice Of International Relation,The Theory and Practice of International Relations,high
415,author,Mclallan David S,David S. McLellan,high
415,publisher,Prentice Hall New Delhi,"Prentice Hall, New Delhi",high
416,title,System & Process In International Politics,System and Process in International Politics,high
416,author,Kaplan Mortan A,Morton A. Kaplan,high
416,publisher,John Wiley & Sons Landon,John Wiley & Sons,high
417,title,Contracts And Their Management,Contracts and Their Management,medium
417,author,Ramaswamy B.S.,B.S. Ramaswamy,medium
417,publisher,Lexis Nexis Gurgaon,"LexisNexis, Gurgaon",medium
418,title,The Making Of Modern India,The Making of Modern India,medium
418,author,Sharma S.R.,S.R. Sharma,medium
418,publisher,Orint Longmann Delhi,"Orient Longmans, Delhi",medium
419,title,Indian Govt. & Politics,Indian Government and Politics,high
419,author,Johari J.C.,J.C. Johari,high
419,language,Hindi,English,high
420,title,The Wisdom & Ideas Of Plato,The Wisdom and Ideas of Plato,medium
420,author,Freeman Eugene,Eugene Freeman,medium
420,publisher,Fowcatt Pub.new York,"Fawcett Publications, New York",medium
421,author,Rao Raja,Raja Rao,high
422,title,Whisperes Of Immortality,Whispers of Immortality,high
422,author,Wilson Anil (ed.),Anil Wilson (ed.),high
422,publisher,Inter University Press Delhi,"Inter-University Press, Delhi",high
423,title,Exercises In English Compositon,Exercises in English Composition,medium
424,author,Harward Peter,Peter Harward,medium
424,publisher,Orint Longmann Delhi,"Orient Longman, Delhi",medium
425,title,Perfect Your Puncluation,Perfect Your Punctuation,medium
425,author,Harward Peter,Peter Harward,medium
425,publisher,Orint Longmann Delhi,"Orient Longman, Delhi",medium
426,title,Under The Banyan Treee & Other Stories,Under the Banyan Tree and Other Stories,high
426,author,Narayan R.K.,R.K. Narayan,high
426,publisher,Indian Thought Pubs Mysore,"Indian Thought Publications, Mysore",high
427,title,The Mother : Tales Of All Times,Tales of All Times,high
427,author,Sri Aurobindo Ashram,The Mother (Mirra Alfassa),high
428,title,A Practical Course In English Pronounciation,A Practical Course in English Pronunciation,high
428,author,Sethi J.,J. Sethi,high
428,publisher,Printice Hall New Delhi,"Prentice-Hall of India, New Delhi",high
429,title,David Copperfild,David Copperfield,high
429,author,Dickens Charles,Charles Dickens,high
429,publisher,Vikash Pubs.house,Vikas Publishing House,high
430,author,Alcott Louisa M,Louisa May Alcott,high
430,publisher,Vikash Pubs.house,Vikas Publishing House,high
431,author,Maurier Daphne Du,Daphne du Maurier,high
431,publisher,Madhuban Educational Book,Madhuban Educational Books,high
432,title,The Hound Of The Baskervilas,The Hound of the Baskervilles,high
432,author,Doyle Arthur Conan,Arthur Conan Doyle,high
432,publisher,Madhuban Educational Book,Madhuban Educational Books,high
433,title,The Art Of War,The Art of War,high
433,author,Tzu Sun,Sun Tzu,high
433,publisher,Shambhala Pubs Bostan,"Shambhala Publications, Boston",high
434,title,Text Book Of Mohammadan Law,Textbook of Mohammedan Law,high
434,author,Ahmed Aqil,Aqil Ahmad,high
434,publisher,Central Law Publication Allahabad,"Central Law Publications, Allahabad",high
435,title,The Hindu Maariage Act 1955,"The Hindu Marriage Act, 1955",medium
435,author,Chakravarti K.P.,K.P. Chakravarti,medium
435,publisher,Hind Publishing House Allahabad,"Hind Publishing House, Allahabad",medium
437,author,Mittal J.K.,J.K. Mittal,high
437,publisher,Central Law Agency Allahabad,"Central Law Agency, Allahabad",high
438,title,Theoretical Aspects Of International Politics,Theoretical Aspects of International Politics,high
438,author,Kumar Mehendra,Mahendra Kumar,high
438,publisher,Shivlal Agarwal Co.delhi,Shiva Lal Agarwala & Co.,high
439,title,India And The International System,India and the International System,high
439,author,"Rajan, Ms (ed)",M.S. Rajan (ed.),high
439,publisher,Vikas Publisher,Vikas Publishing House,high
440,author,Swami Prabhupaad,A.C. Bhaktivedanta Swami Prabhupada,high
440,publisher,Mukti Vedant Book Trust,Bhaktivedanta Book Trust,high
441,title,Ram Katha- Utpatti Aur Vikas,Ram Katha: Utpatti Aur Vikas,high
441,author,"Bulke, father Kamil",Camille Bulcke,high
441,publisher,"Hindi Parishad, prayag","Hindi Parishad, Prayag",high
442,title,Koch Ki Ramleela,Konch Ki Ramleela,high
442,author,"Gupta, ayodhya Prasad",Ayodhya Prasad Gupta 'Kumud',high
444,title,Atarv Veda II,Atharva Veda Vol. 2,high
444,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
444,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
445,title,Rigveda III,Rigveda Vol. 3,high
445,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
445,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
446,title,Udhav Shatak,Uddhav Shatak,medium
446,author,Rasik Mandal,Jagannath Das 'Ratnakar',medium
446,publisher,"Indian Publication, prayag","Indian Publication, Prayag",medium
448,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
448,publisher,Yug Nirman Yojna,"Yug Nirman Yojna, Mathura",high
449,title,Sewa-shudikaran Ka Marg,Sewa: Shuddhikaran Ka Marg,medium
449,author,Shivanand Math,Sivananda Math,medium
449,publisher,"Shivanand Math, munger","Sivananda Math, Munger",medium
450,title,Bhakti Vishestayein,Bhakti Visheshtayein,medium
450,author,Akhandanand Saraswati,Swami Akhandananda Saraswati,medium
450,publisher,Satya Sahitya Prakashan Trust,Sat Sahitya Prakashan Trust,medium
451,title,Mohan Ki Mohni,Mohan Ki Mohini,medium
451,author,Akhandanand Saraswati,Swami Akhandananda Saraswati,medium
451,publisher,Sahitya Prakashan Trust,Sat Sahitya Prakashan Trust,medium
452,title,Gayatri Hawan Vidhan,Gayatri Havan Vidhan,high
452,author,"Gautam, chamanlal",Chamanlal Gautam,high
452,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
453,publisher,Lokbharti,Lokbharti Prakashan,high
454,title,Chaya/pratidhwani,Chhaya / Pratidhwani,high
454,author,"Prasad, jai Shankar",Jaishankar Prasad,high
455,title,Edatramam,Idannamam,high
455,author,"Pushpa, maitrayee",Maitreyi Pushpa,high
455,publisher,Rajkamal,Rajkamal Prakashan,high
457,title,Chandi Begum,Chandni Begum,high
457,author,"Haidar, kurtulain",Qurratulain Hyder,high
457,publisher,Bharitya Gyanpeeth,Bharatiya Jnanpith,high
458,title,Neelophar,Neelofar,high
458,author,"Agnihotri, krishna",Krishna Agnihotri,high
458,publisher,National Publishing,National Publishing House,high
459,title,Badi Badi Anke,Badi Badi Aankhen,high
459,author,Upendra Nath Ashq,Upendranath Ashk,high
460,title,Ret Ki Machli,Ret Ki Machhli,high
460,author,"Kanta, bhartiya",Kanta Bharti,high
460,publisher,Lokbharti,Lokbharti Prakashan,high
461,title,Matrabhoomi,Matribhoomi,medium
461,author,Chatusen,Acharya Chatursen Shastri,medium
462,title,Bhartiya Sarvshreshta Kahaniya I Khand,Bharatiya Sarvashreshtha Kahaniyan Vol. 1,medium
462,author,"Ojha, sanhaiyalal",Kanhaiyalal Ojha (ed.),medium
463,title,Lekin Darwaja,Lekin Darwaza,high
463,author,"Visht, pankaj",Pankaj Bisht,high
463,publisher,Rajkamal,Rajkamal Prakashan,high
464,title,Hamari Lok Kathayein,Hamari Lok Kathayen,medium
464,author,"Chaturvedi, shiv Sahay",Shiv Sahay Chaturvedi,medium
465,title,Bhartiya Sarvshreshta Kahaniya Khand-2,Bharatiya Sarvashreshtha Kahaniyan Vol. 2,medium
465,author,"Ojha, sanhaiyalal",Kanhaiyalal Ojha (ed.),medium
467,title,Mansarovar -6,Mansarovar Vol. 6,high
467,author,Premchandra,Premchand,high
467,language,English,Hindi,high
468,title,Mansarover-1,Mansarovar Vol. 1,high
468,author,Premchandra,Premchand,high
469,title,Mansarover-3,Mansarovar Vol. 3,high
469,author,Premchandra,Premchand,high
469,publisher,Rajkamal,Rajkamal Prakashan,high
470,author,"Kohli, narendra",Narendra Kohli,high
470,publisher,Bhariya Gyan Peeth,Bharatiya Jnanpith,high
471,title,Vyawastha Virodhi Kahaniyaan,Vyavastha Virodhi Kahaniyan,medium
471,author,Narendra Mohan Sampadak,Narendra Mohan (ed.),medium
472,title,Kavita Kaumidi Tisra Bhaag,Kavita Kaumudi Vol. 3,high
472,author,"Tripathi, ramnaresh(sampadak)",Ramnaresh Tripathi (ed.),high
472,publisher,Hindi Mandir Sultanpur,"Hindi Mandir, Sultanpur",high
474,title,Yashodhra,Yashodhara,high
474,author,"Gupt, mathilisharan",Maithilisharan Gupt,high
474,publisher,Sahitya Sadan Jhanshi,"Sahitya Sadan, Jhansi",high
476,title,Filmy Vividh Geet Ank-9,Filmi Vividh Geet Ank 9,medium
476,author,"Garg, lakshminarayan (sampadak)",Lakshminarayan Garg (ed.),medium
476,publisher,Sangeet Karyala Hathrus U.P.,"Sangeet Karyalaya, Hathras",medium
477,title,Pratinidhi Kavitae-faiz Ahmad Faiz,Pratinidhi Kavitayen: Faiz Ahmed Faiz,high
477,author,Rajkamal Prakashan,Faiz Ahmed Faiz,high
477,publisher,Rajkamal Prakashan Delhi,"Rajkamal Prakashan, Delhi",high
478,title,Kavitawali,Kavitavali,high
478,author,"Mishr, vishwanath Prasad (sampadak)",Tulsidas (ed. Vishwanath Prasad Mishra),high
482,title,Yaar Julaahe………… Guljar,Yaar Julahe,high
482,author,"Mishra, yatindra (sampadak)",Gulzar (ed. Yatindra Mishra),high
482,publisher,Vaani Prakashan Delhi,"Vani Prakashan, Delhi",high
483,title,Rashtra-chandrashekher,Rashtra-Chandrashekhar,medium
483,author,"Srivastava, virendrakumar (sampadak)",Virendra Kumar Srivastava (ed.),medium
483,publisher,Chandrashekher Smarak Trust Azamgarh,"Chandrashekhar Smarak Trust, Azamgarh",medium
484,publisher,Shiksha Bharti Delhi,"Shiksha Bharati, Delhi",medium
486,title,Beiman Kyon Ho Jaati Hai Naukarshahi,Beiman Kyon Ho Jati Hai Naukarshahi,medium
486,author,"Singh, hardev",Hardev Singh,medium
488,author,"Malik, mahendra Singh",Mahendra Singh Malik,medium
488,publisher,"Police Prashikshan Mahavidyalaya, kernal","Police Prashikshan Mahavidyalaya, Karnal",medium
489,author,"Police Prashikshan, moradabad","Police Training College, Moradabad",medium
489,publisher,"Police Prashikshan, moradabad","Police Training College, Moradabad",medium
491,author,"Shashtri, laxminarayan",Laxminarayan Shastri,medium
492,title,Neeti Shatkam-shri Bhrithari Viranchit,Niti Shatakam,high
492,author,"Chaukhamba, subharti Granthmaala",Bhartrihari,high
492,publisher,Chaukhamba Surbharti Prakashan,Chaukhamba Surbharati Prakashan,high
493,title,U.P.KI Nayi Udaan,Uttar Pradesh Ki Nai Udaan,high
493,author,Singh Srajan Pal,Srijan Pal Singh and G.S. Naveen Kumar,high
493,publisher,Prabhat Prakashan Delhi,"Prabhat Prakashan, Delhi",high
494,title,Vrahad Prashashan Shabdawali,Brihat Prashasan Shabdavali,medium
494,author,Bharat Sarkar Manav Sansadhan Vikas Mantralaya,"Ministry of Human Resource Development, Govt. of India",medium
494,publisher,Vaigyanik Taknikishabdawali Ayoug Delhi,"Vaigyanik Tatha Takniki Shabdavali Aayog, Delhi",medium
495,title,Abhigyanshakuntalam,Abhijnana Shakuntalam,high
495,author,"Dubey, ashok Kumar",Kalidasa (ed. Ashok Kumar Dubey),high
495,publisher,Nikhil Publishers Agra,"Nikhil Publishers, Agra",high
496,author,Swami Akhandanand Saraswati,Swami Akhandananda Saraswati,medium
496,publisher,Sat Sahitya Prakashan Mumbai,"Sat Sahitya Prakashan, Mumbai",medium
497,title,Pramukh Rajnitik Sankalpnaye Avom Vichardharaee,Pramukh Rajnitik Sankalpanayen Evam Vichardharayen,medium
497,author,"Tripathi, shreeprakash Mani",Shriprakash Mani Tripathi,medium
497,publisher,Pratyush Publication Delhi,"Pratyush Publication, Delhi",medium
498,title,U.p.guard Avom Scott Rules,U.P. Guard Evam Escort Rules,medium
498,author,Police Training College Muradabad,"Police Training College, Moradabad",medium
498,publisher,Police Trainning College Muradabad,"Police Training College, Moradabad",medium
499,title,Kalidas Granthwali,Kalidas Granthavali,high
499,author,"Chaturvedi, sitaram",Kalidasa (ed. Sitaram Chaturvedi),high
499,publisher,U.p.sanskrit Sansthan,U.P. Sanskrit Sansthan,high
500,title,The Past And Prejudice,The Past and Prejudice,high
500,author,"Thaper, ramila",Romila Thapar,high
500,language,Hindi,English,high
501,title,A Short History Of Muslim Rule In India,A Short History of Muslim Rule in India,high
501,publisher,Indian Press Allahabad,"Indian Press, Allahabad",high
502,title,What Should I Eat Doctor Good Eating To Good Health,"What Should I Eat, Doctor? Good Eating for Good Health",medium
502,author,Karwarkar Malti,Malati Karwarkar,medium
502,publisher,Ibh Publishing Bombay,"IBH Publishing, Bombay",medium
503,author,Byrne Rhonda,Rhonda Byrne,high
503,publisher,Artia Books New York,"Atria Books, New York",high
504,author,"Mehta, dhiru.s.ed.rajagopalchari",C. Rajagopalachari,high
504,publisher,Bhartiya Vidhya Bhawan,Bharatiya Vidya Bhavan,high
505,title,Carry An Leeves,"Carry On, Jeeves",high
505,author,Wodehouse P.G,P.G. Wodehouse,high
506,author,"Goswami, satsvarupa Das",Satsvarupa Dasa Goswami,high
506,publisher,Bhakti Vedan Londan,"Bhaktivedanta Book Trust, London",high
507,title,Art Around Us Vol.15,Childcraft Vol. 15: Art Around Us,medium
507,author,Child Cfaft World Of International,Childcraft - The How and Why Library,medium
507,publisher,Woved Books Mc.londan,"World Book International, London",medium
508,title,Tales From Shakespears,Tales from Shakespeare,high
508,author,Charles And Merrylamb,Charles Lamb and Mary Lamb,high
508,publisher,Rupa Publication New Delhi,"Rupa Publications, New Delhi",high
509,title,The Second Jim Carbett Omnibus My India,The Second Jim Corbett Omnibus,high
509,author,Oxford University Press,Jim Corbett,high
510,title,An Economist In The Real World,An Economist in the Real World,high
510,author,Basu Kaushik,Kaushik Basu,high
511,title,Interpreter Of Maladies -stories,Interpreter of Maladies: Stories,high
511,author,"Lahori , Jhumpa",Jhumpa Lahiri,high
511,publisher,Harper Collins India,HarperCollins India,high
512,title,Raj Thaper Alla These Years A Memories,All These Years: A Memoir,high
512,author,Penguin Books,Raj Thapar,high
513,title,My Years In An Indian Prison,My Years in an Indian Prison,high
513,author,Tyler Mary,Mary Tyler,high
514,title,Desiree : Nepolion First Love,Désirée: Napoleon's First Love,high
514,author,Selinko Annemarie,Annemarie Selinko,high
514,publisher,William Collins Armada,William Collins / Armada,high
515,title,Three Rivers And The Tree- Stories Of Allahabad University,Three Rivers and a Tree: The Story of Allahabad University,high
515,author,Gaur Neelam Saran,Neelum Saran Gour,high
515,publisher,Rupa And Company,Rupa & Co.,high
516,title,Sign Of The Cross,Sign of the Cross,high
516,author,Kuzneski Chris,Chris Kuzneski,high
517,title,The Mouse Trap And Selected Plays,The Mousetrap and Selected Plays,high
517,publisher,Harper Collins India,HarperCollins India,high
518,title,Problems Of Politics Philosphy,Problems of Political Philosophy,high
518,author,Raphael D.D.,D.D. Raphael,high
519,title,Illussions : The Adventures Of Roluctant Mission,Illusions: The Adventures of a Reluctant Messiah,high
519,author,Bach Richad,Richard Bach,high
520,title,Junior School Dictionary Illustration,Junior School Dictionary (Illustrated),medium
520,publisher,Roli Books New Delhi,"Roli Books, New Delhi",medium
521,title,Financial Hand Book Vol.v Account Rules Part 1,Financial Handbook Vol. V: Account Rules Part 1,high
521,author,Govt.of U.p.finance Dept.,"Finance Department, Government of U.P.",high
521,publisher,"Govt, of U.p.finanace Dept.","Government of U.P., Finance Department",high
522,title,Defence And Security In The Indian Ocean Area,Defence and Security in the Indian Ocean Area,medium
522,author,Indian Council Of World Affairs,Indian Council of World Affairs,medium
522,publisher,Asia Pubs.house Bombay,"Asia Publishing House, Bombay",medium
523,title,Sixty Millian Frenchman Con'nl-be Wrong,Sixty Million Frenchmen Can't Be Wrong,high
523,author,"Nadeau, jean Bencil",Jean-Benoit Nadeau and Julie Barlow,high
523,language,Hindi,English,high
524,title,Intimate Relations:exploring Indian Sexuality,Intimate Relations: Exploring Indian Sexuality,high
524,author,"Kakar, sudhir",Sudhir Kakar,high
524,pub_year,1979,1989,high
525,author,"Cahan, herb",Herb Cohen,high
525,publisher,Jaico Pubs Bombay,"Jaico Publishing House, Bombay",high
527,title,A Mild Summer Night Dream,A Midsummer Night's Dream,high
527,author,Shakespeare William,William Shakespeare,high
528,author,Cussler Clive,Clive Cussler,high
529,author,Cussler Clive,Clive Cussler,high
529,publisher,Michal Joshph Penguin Books,Michael Joseph / Penguin,high
530,title,Silent Sea,The Silent Sea,high
530,author,Cussler Clive,Clive Cussler,high
530,publisher,Michal Joshph Penguin Books,Michael Joseph / Penguin,high
531,author,Cussler Clive,Clive Cussler,high
531,publisher,Michal Joshph Penguin Books,Michael Joseph / Penguin,high
532,title,Raise The Titanic,Raise the Titanic!,high
532,author,Cussler Clive,Clive Cussler,high
532,publisher,Michal Joshph Warner Books,Warner Books,high
533,author,Cussler Clive,Clive Cussler,high
534,author,Collins Larry,Larry Collins and Dominique Lapierre,high
534,publisher,Siman And Schuster,Simon and Schuster,high
535,title,Napolian,Napoleon,high
535,author,Ludwig Emile,Emil Ludwig,high
535,publisher,Jaco Pub Bombay,"Jaico Publishing House, Bombay",high
535,language,Hindi,English,high
536,author,Follett Ken,Jeffrey Archer,high
537,author,Follett Ken,Ken Follett,high
537,publisher,Macmillan India Delhi,"Macmillan India, Delhi",high
538,title,The Mentram St.peterburg,The Man from St. Petersburg,high
538,author,Follett Ken,Ken Follett,high
538,publisher,William Morrow & CO.,William Morrow & Co.,high
